record,S1r1,S1r2,S1r3,S1r4,S1r5,S1r6,MRK_Sample,age,MRK_Age,gender,S6r1,S6r2,S6r3,S6r4,numdogs,S9,S10,M1r1,M1r2,M1r3,M1r4,M1r5,M1r6,M1r7,M1r8,M1r9,M1r10,M1r11,M1r12,M1r13,M1r14,M1r15,M1r16,M1r17,M1r18,M2r1,M2r2,M2r3,M2r4,M2r5,M2r6,M2r7,M2r8,M2r9,M2r10,M3r1,M3r2,M3r3,M3r4,M3r5,M3r6,M3r7,M3r8,M3r9,M3r10,M3r11,M3r12,M4r1,M4r2,M4r3,M4r4,M4r5,M4r6,M4r7,M4r8,M4r9,M4r10,M4r11,M4r12,M4r13,M4r14,M4r15,M4r16,M4r17,M4r18,M4r19,M4r20,M5r1,M5r2,M5r3,M5r4,M5r5,M5r6,M5r7,M6,M7r1,M7r2,M7r3,M7r4,M7r5,M7r6,M7r7,M7r8,M7r9,M7r10,M7r11,M7r12,M7r13,M7r14,M7r15,M7r16,M7r17,M7r18,M7r19,M7r20,M7r21,M7r22,M7r23,M7r24,M7r25,M7r26,M7r27,M7r28,M7r29,D1,D1b,D2,D3,D4,D5,D6,D7,S2,state,S8,M1r4_rev,M1r6_rev,M1r9_rev,M1r12_rev,M1r15_rev,M1r17_rev,PAStotal,socSupport,depress,gad7
686,1,1,0,1,0,0,1, , , ,3,2,3,2,1,5,2,6,5,5,6,6,6,6,6,6,6,7,7,7,7,7,7,6,6,3,2,3,2,4,3,3,3,3,3,5,4,5,6,5,4,4,5,6,5,4,4,2,2,3,2,3,2,3,3,2,2,3,3,3,2,3,3,2,2,3,2,3,2,2,3,3,2,2,3,3,4,4,4,5,5,2,3,4,3,3,4,4,4,5,4,3,4,3,3,3,4,4,4,4,5,3,2,2,2,7,2,4,1,2,1,1, ,13,5,2,2,2,1,1,2,84,57,50,17
1814,1,1,0,0,0,0,1, , ,2,3,3,3,3,2,2,2,7,4,7,1,7,1,7,4,4,5,7,1,5,7,1,5,1,7,5,5,5,5,5,5,5,5,5,5,7,6,6,6,7,6,6,6,6,7,6,6,1,1,1,1,2,2,1,1,1,1,1,1,2,1,1,1,1,1,2,1,0,0,0,0,0,0,0, ,1,5,6,6,4,2,4,5,5,3,6,5,3,3,5,6,6,5,2,5,6,6,2,1,6,6,2,1,1,4,2,3,2,3,2,1,9, ,22,2,7,7,4,7,7,7,111,75,24,0
7023,0,0,0,0,0,1,2, , ,2,1,3,3,1, , , ,7,4,6,4,7,1,7,7,1,7,7,2,1,7,1,6,1,3,5,5,5,5,5,5,5,4,3,3,7,2,5,5,1,1,7,7,7,6,5,5,2,2,4,2,2,1,2,4,3,2,3,3,4,3,2,3,1,5,5,3,2,2,2,2,1,0,0,1,5,3,3,3,5,3,4,4,5,5,5,4,3,2,4,3,3,4,2,5,5,4,5,6,2,2,3,4,4,1,1,3,6,2,2,5,9,5,46, ,4,7,7,6,7,7,107,58,56,9
2621,0,0,0,0,0,1,2,85,7,2,3,3,3,3, , , ,7,7,7,1,7,1,7,7,1,3,7,1,3,7,1,7,1,7,5,5,5,5,5,5,5,5,5,5,7,5,7,6,5,5,5,6,6,6,6,5,2,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,0,0,1,0,1,0,2,3,2,3,3,3,4,3,3,3,4,3,3,4,4,3,4,3,2,4,3,3,3,4,4,3,3,4,4,3,2,3,4,5,3,2,1,2,5,3, ,7,7,7,7,7,7,118,69,25,3
3291,0,0,0,0,0,1,2,93,7,1,5,4,5,5, , , ,6,5,5,3,5,3,4,4,3,5,5,3,4,5,5,6,2,5,4,4,4,4,4,4,4,4,4,4,6,6,6,6,7,5,5,6,5,7,7,5,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0, ,2,3,4,4,4,4,3,3,5,2,3,5,5,3,4,3,3,4,3,2,5,4,3,2,3,4,3,4,3,2,2,1,5,1,2,1,2,4,38, ,5,5,5,5,3,6,88,71,22,0
11,1,0,0,0,0,0,1,75,6,2,2,2,3,2,1,1,2,7,4,7,1,7,1,7,6,1,4,7,1,1,7,1,7,1,7,5,4,3,3,4,4,4,5,5,5,7,7,6,6,7,7,7,7,7,7,7,7,5,1,3,1,3,1,3,1,1,2,3,2,1,1,1,1,1,2,2,1,0,0,0,1,0,0,0,1,1,5,4,6,4,4,2,4,4,2,3,2,5,4,4,6,5,3,2,1,5,3,4,1,4,5,1,3,1,2,2,2,5,1,2,1,3, ,33,3,7,7,7,7,7,7,113,82,36,1
90,0,0,0,0,0,1,2,77,6,2,4,4,4,4, , , ,7,7,7,1,7,1,7,7,1,7,7,1,5,7,1,7,1,7,5,5,5,3,5,5,5,5,5,5,7,7,4,4,7,4,4,4,4,7,4,4,1,1,1,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,2,1,0,0,0,0,0,1,0,1,1,3,6,2,1,1,6,6,6,4,4,5,1,1,5,6,6,6,2,6,6,6,1,1,6,6,3,2,2,2,2,3,2,2,2,1,7,5,5, ,7,7,7,7,7,7,124,60,25,1
361,1,0,0,0,0,0,1,79,6,2,5,1,1,3,3,5,2,7,7,7,1,7,1,7,7,1,2,7,1,1,7,1,7,1,7,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,7,7,7,7,7,7,7,4,4,1,4,4,4,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,0,0,1,1,1,6,6,6,6,2,3,3,6,4,6,6,3,3,6,6,6,3,1,5,6,6,1,1,4,6,1,3,1,3,4,2,5,3,2,1,3, ,3,5,7,7,7,7,7,7,115,84,39,7
412,1,0,0,0,0,0,1,77,6,2,2,4,3,3,1,6,2,7,6,7,7,7,1,7,7,1,7,7,1,1,7,1,7,1,7,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,2,6,4,4,2,3,3,3,5,1,5,3,4,5,4,5,3,4,2,2,5,5,2,2,1,5,2,6,1,2,1,4,5,2,2,1,1, ,40,6,1,7,7,7,7,7,113,72,22,2
427,1,0,0,0,0,0,1,82,6,2,1,1,4,1,1,4,2,6,6,7,1,7,6,7,7,7,6,7,1,5,6,1,7,1,7,5,5,5,5,5,5,5,5,5,5,5,5,6,5,6,6,5,5,5,5,5,5,3,3,2,4,4,4,4,3,3,4,5,4,3,4,1,2,3,1,3,2,2,3,3,3,1,3,3,2,6,1,1,2,5,6,1,2,1,5,1,1,6,5,1,2,1,1,5,2,3,2,3,6,1,1,3,5,3,2,5,2,5,3,2,1,3, ,25,5,7,2,1,7,7,7,109,63,62,18
433,1,1,0,0,0,0,1,83,6,2,2,2,3,2,1,5,2,7,4,7,1,7,1,7,7,1,3,7,1,1,7,1,7,1,7,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,5,5,7,5,7,7,5,1,2,2,2,3,3,3,2,1,2,1,2,3,1,1,2,2,1,3,3,1,1,1,1,1,1,1,2,2,2,4,4,4,4,3,4,3,4,3,3,4,5,3,4,4,3,4,4,4,3,3,3,3,3,3,3,2,2,4,3,5,2,2,1,2, ,21,5,7,7,7,7,7,7,113,71,40,7
446,1,0,0,0,0,0,1,80,6,2,4,4,4,3,2,4,2,7,5,7,1,7,1,6,6,2,3,7,1,2,7,1,7,1,6,5,5,5,5,5,5,5,5,5,5,7,7,6,6,7,6,6,6,7,7,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0, ,1,3,5,4,2,4,3,4,4,2,4,5,3,3,5,5,5,4,2,4,5,5,5,2,5,4,2,3,1,2,2,3,5,3,2,4,6, ,5,4,7,7,6,7,7,7,111,77,20,0
526,0,0,0,0,0,1,2,75,6,2,3,4,3,4, , , ,6,4,6,2,6,2,5,5,5,5,5,2,2,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,6,6,7,6,6,6,6,6,6,6,7,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,3,1,3,2,1,3,4,9, ,6,6,3,6,3,7,90,74,20,1
1177,1,0,0,0,0,0,1,77,6,2,5,4,4,2,2,3,2,7,1,7,1,7,2,6,5,4,7,7,1,3,7,1,7,1,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,7,7,7,7,7,7,7,3,3,4,2,1,3,4,1,1,2,5,4,2,1,1,3,2,1,2,4,1,1,1,1,0,1,0,2,3,4,4,6,2,3,4,2,6,4,5,3,4,6,5,6,6,6,3,1,2,5,1,4,1,5,2,5,1,2,5,3,5,2,1,6,2, ,4,3,7,6,4,7,7,7,107,84,49,5
1955,0,0,0,0,0,1,2,75,6,2,3,3,3,2, , , ,7,2,6,1,7,1,7,4,4,6,7,1,1,7,2,3,1,6,5,5,4,4,4,4,4,4,4,4,7,7,7,7,7,6,6,6,7,7,7,6,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,2,3,5,3,2,4,2,3,5,1,3,4,3,5,4,6,4,6,2,4,6,5,2,2,4,5,1,1,3,2,2,3,5,3,2,1,9,4,5, ,7,7,4,7,6,7,101,80,21,1
1966,1,0,0,0,0,0,1,77,6,2,3,3,4,2,1,1,2,7,6,7,1,7,1,7,6,1,2,7,1,1,7,1,7,1,7,5,5,5,5,5,5,5,5,5,5,7,3,7,6,3,4,6,5,5,5,7,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0, ,1,4,5,5,1,1,4,5,5,1,3,4,4,2,4,4,4,5,1,5,5,4,1,4,4,5,1,1,1,1,4,4,5,2,2,1,1, ,46,3,7,7,7,7,7,7,113,63,20,0
1970,1,0,0,0,0,0,1,77,6,2,5,5,5,5,1,6,2,6,4,6,1,6,3,5,4,2,5,6,1,2,4,1,5,1,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,4,5,5,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0, ,2,4,5,5,1,1,4,5,5,1,5,4,2,3,5,5,4,5,2,5,5,5,2,2,5,5,2,1,2,1,2,5,5,3,2,1,9, ,4,6,7,5,6,7,7,7,98,59,20,0
2019,0,0,0,0,0,1,2,79,6,2,5,5,5,5, , , ,5,2,7,1,6,1,5,3,3,4,6,1,2,7,1,5,1,3,4,2,3,2,5,4,3,4,4,3,7,7,7,7,7,5,5,5,5,7,6,4,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0, ,2,2,5,4,1,1,3,4,5,3,4,5,6,6,6,5,4,4,5,5,3,5,2,1,3,4,1,1,1,2,2,3,5,1,2,1,3,4,26, ,7,7,5,7,7,7,95,72,21,0
2139,0,0,0,0,0,1,2,77,6,2,4,5,3,3, , , ,7,7,7,1,7,1,6,7,1,6,7,1,2,7,1,7,1,7,5,2,5,5,4,4,4,4,4,4,6,6,5,6,6,5,5,5,5,6,6,6,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0, ,1,4,5,4,2,1,4,5,5,1,4,5,3,2,5,5,4,4,1,5,6,6,1,1,3,4,2,4,1,1,4,5,5,3,2,1,2,4,25, ,7,7,7,7,7,7,119,67,21,0
3047,0,0,0,0,0,1,2,80,6,2,5,4,4,3, , , ,6,4,6,1,6,1,7,6,3,3,6,1,2,7,2,6,1,6,4,4,4,3,4,3,3,4,4,3,7,7,6,6,6,6,5,6,6,6,6,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0, ,1,5,6,5,1,1,3,5,6,1,5,6,3,2,5,5,5,5,1,5,6,5,1,1,5,5,2,2,1,2,2,5,5,3,2,1,4,4,20, ,7,7,5,7,6,7,104,72,20,0
3402,0,0,0,0,0,1,2,75,6,2,3,3,4,2, , , ,5,4,5,5,5,3,5,3,5,1,5,2,4,5,5,4,1,3,3,2,3,3,3,3,3,3,2,2,6,7,6,6,7,5,5,6,5,7,6,4,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,0,0,0,0,0,0,0, ,1,4,5,4,2,3,4,6,5,1,4,5,3,4,5,5,4,5,1,4,6,6,2,2,6,6,1,1,1,3,2,4,1,1,2,1,7,4,32, ,3,5,3,6,3,7,76,70,22,0
3470,0,0,0,0,0,1,2,75,6,2,4,5,5,4, , , ,7,3,7,1,7,1,6,3,3,3,7,1,2,7,3,6,1,7,5,4,5,5,5,5,5,5,5,5,5,6,7,6,6,6,6,6,6,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0, ,2,4,6,5,1,1,4,4,6,1,6,5,5,3,5,6,5,5,1,5,6,6,4,1,6,5,1,1,1,2,2,2,5,3,2,1,3,5,9, ,7,7,5,7,5,7,103,72,20,0
3492,0,0,0,0,0,1,2,75,6,2,3,3,3,2, , , ,7,4,7,1,7,1,7,6,1,4,7,1,1,7,1,7,1,6,5,5,5,5,5,5,5,5,5,5,6,7,5,5,6,5,5,6,6,6,4,6,4,2,2,2,1,2,2,2,1,2,2,2,2,1,1,1,1,1,1,2,1,0,1,1,2,1,1,1,2,5,6,4,2,2,3,5,6,1,5,5,5,5,5,6,5,4,2,4,6,5,2,2,5,4,2,2,1,1,4,5,5,2,2,1,3,5,32, ,7,7,7,7,7,7,112,67,34,7
46,1,0,0,0,0,0,1,78,6,1,5,5,5,4,1,3,2,7,3,3,1,7,1,7,6,1,4,7,1,1,7,1,5,1,7,5,3,5,5,5,5,5,5,5,5,6,6,6,6,6,4,4,6,4,6,6,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0, ,1,4,5,5,6,2,2,6,6,2,3,5,2,2,5,5,5,5,1,5,6,4,1,1,5,3,2,1,1,2,2,4,5,2,2,4,9, ,5,3,7,7,7,7,7,7,106,64,20,0
435,1,0,0,0,0,0,1,78,6,1,4,2,4,4,1,1,2,7,3,6,1,6,1,6,6,2,3,6,1,1,6,2,6,1,5,4,2,4,4,4,4,3,4,4,2,6,6,5,5,5,5,5,5,5,5,6,5,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,4,5,4,2,1,4,4,5,1,4,4,1,2,4,4,4,4,1,4,5,5,2,4,4,4,2,2,1,2,2,4,5,3,2,2,6, ,13,2,7,7,6,7,6,7,101,63,21,3
676,0,0,0,0,0,1,2,80,6,1,4,4,4,4, , , ,6,5,6,2,6,1,6,6,2,5,6,1,5,6,3,7,1,6,4,4,3,3,3,3,2,3,3,1,4,4,5,5,3,5,5,5,4,3,4,4,1,1,1,1,1,2,2,1,1,3,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0, ,3,4,4,4,4,3,6,4,5,3,6,5,2,3,5,5,5,5,2,5,5,5,2,2,4,4,2,4,2,1,5,4,5,2,2,1,1,4,23, ,6,7,6,7,5,7,108,51,25,0
3224,0,0,0,0,0,1,2,79,6,1,4,3,4,3, , , ,5,2,5,3,5,4,5,3,5,5,5,3,4,5,5,3,2,1,4,2,4,2,4,4,3,3,3,3,6,6,6,6,6,5,4,6,4,6,6,4,1,1,2,2,1,2,2,1,1,1,2,2,2,1,1,2,1,1,1,1,0,0,0,1,0,1,0,2,2,4,5,3,4,3,3,4,5,2,3,4,4,4,5,5,4,4,3,5,4,5,4,3,3,4,3,3,4,2,2,5,5,3,2,1,2,4,25, ,5,4,3,5,3,6,74,65,28,2
3306,0,0,0,0,0,1,2,75,6,1,5,5,4,3, , , ,7,5,6,2,6,1,7,4,3,7,6,1,2,7,2,6,1,7,5,1,5,1,5,5,1,5,4,1,7,7,7,7,7,7,7,7,7,7,7,7,1,2,1,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,3,1,0,0,1,1,0,0,0,1,2,5,6,4,1,1,5,6,6,2,4,5,1,1,6,5,3,6,1,6,5,5,1,1,5,3,1,1,1,1,4,2,4,2,2,2,1,4,43, ,6,7,5,7,6,7,108,84,26,2
3364,0,0,0,0,0,1,2,76,6,1,5,5,5,3, , , ,6,5,7,2,6,1,7,6,2,5,6,1,3,7,2,6,1,6,5,4,5,5,5,5,4,4,4,4,6,6,6,6,6,6,6,6,6,7,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0, ,1,4,5,5,1,1,4,5,5,1,4,5,2,3,5,5,5,5,2,5,6,5,2,2,5,5,2,2,1,2,2,4,5,3,2,1,5,4,46, ,6,7,6,7,6,7,109,73,20,0
7,1,1,0,0,0,0,1,68,5,2,3,4,3,3,3,4,2,6,7,7,1,7,1,7,6,1,3,7,1,1,7,1,7,1,7,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,7,5,7,7,6,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,3,4,5,4,2,3,4,3,4,3,4,4,4,4,4,4,4,4,2,3,5,5,3,5,2,4,2,2,3,1,4,3,5,2,2,1,1, ,10,4,7,7,7,7,7,7,114,75,20,3
9,1,1,0,0,0,0,1,68,5,2,3,5,5,5,1,2,2,7,6,7,1,7,1,7,7,1,1,7,4,1,7,1,7,1,7,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,7,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0, ,3,4,5,4,1,4,3,5,5,2,4,5,4,4,5,5,3,3,3,4,5,4,1,1,5,4,1,1,1,3,4,3,5,3,2,1,2, ,43,2,7,7,7,4,7,7,110,84,20,0
10,1,0,0,0,0,0,1,70,5,2,5,4,5,3,1,5,2,5,6,7,1,7,1,6,4,2,2,7,4,3,7,1,6,1,7,5,5,5,5,5,5,5,5,5,5,4,4,4,5,5,4,6,4,5,4,4,5,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,0,0,0,0,0,0,0, ,2,4,4,4,3,4,3,3,4,4,3,4,3,4,4,4,4,4,4,3,4,4,3,3,3,4,3,3,4,1,5,3,5,3,2,1,3, ,17,5,7,7,6,4,7,7,105,54,22,0
92,1,0,0,0,0,0,1,73,5,2,3,3,5,1,3,2,2,7,7,7,1,7,1,7,7,1,7,7,1,5,7,1,7,1,7,5,5,5,5,5,5,5,5,5,5,7,7,6,7,7,5,5,7,5,7,6,5,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,0,0,0,0,0,0,0, ,1,3,6,4,2,3,6,3,6,1,6,5,1,3,6,6,6,4,1,5,6,6,1,1,4,6,1,1,1,2,2,3,2,2,2,1,4, ,5,2,7,7,7,7,7,7,124,74,26,0
168,1,0,0,0,0,0,1,65,5,2,3,3,4,3,1,2,2,7,7,7,1,7,1,7,6,1,6,7,1,1,7,2,7,1,7,5,5,5,5,5,5,5,5,5,5,6,6,5,5,6,6,6,5,6,6,5,6,1,1,1,2,4,1,2,1,3,3,1,3,3,1,1,3,3,1,4,2,1,1,1,2,2,2,2,3,5,2,3,3,6,5,2,2,3,5,3,2,5,5,2,3,3,3,5,2,2,2,5,5,3,3,5,5,5,2,2,4,5,3,2,1,4, ,9,6,7,7,7,7,6,7,117,68,41,11
170,1,0,0,0,0,0,1,73,5,2,5,4,3,3,2,5,2,7,7,7,1,7,1,6,7,1,7,7,1,2,7,1,7,1,7,5,5,5,5,5,5,3,5,5,3,7,7,7,7,7,7,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0, ,4,5,6,5,3,3,4,6,6,2,6,6,4,5,6,6,5,6,1,5,6,6,3,2,3,4,1,5,1,2,2,4,5,3,2,1,3, ,35,5,7,7,7,7,7,7,120,84,20,0
178,0,0,0,0,0,1,2,71,5,2,2,2,2,2, , , ,6,6,6,2,6,2,7,6,2,3,6,2,4,7,5,7,1,7,5,4,3,3,5,5,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4,4,2,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,3,4,4,5,5,4,4,4,2,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,5,2,5,1,2,1,1,4,38, ,6,6,6,6,3,7,105,50,23,3
195,1,0,0,0,0,0,1,65,5,2,5,3,5,3,1,3,2,7,7,7,1,7,1,7,7,1,6,7,1,1,7,1,7,1,7,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,7,7,7,7,7,7,7,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,0,0,0,1,0,0,0,1,1,4,6,6,1,1,3,6,6,2,6,6,1,1,6,6,6,6,1,6,6,6,1,1,4,6,1,1,1,1,5,4,5,2,2,1,2, ,5,3,7,7,7,7,7,7,119,84,23,1
206,1,0,0,1,0,0,1,68,5,2,4,3,4,4,1,5,2,6,6,6,1,7,1,7,6,1,7,7,1,3,7,1,7,1,6,5,5,5,5,5,5,5,5,5,5,6,6,3,5,6,4,4,6,5,7,4,5,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,2,5,5,5,3,4,4,5,5,1,4,4,5,5,5,5,4,3,3,4,5,5,2,2,4,4,2,4,2,2,2,3,5,3,2,1,2, ,33,5,7,7,7,7,7,7,117,61,23,2
210,1,0,0,0,0,0,1,69,5,2,3,3,4,3,1,3,2,6,5,7,1,7,1,7,7,1,5,7,1,4,1,1,7,1,7,5,5,5,5,5,5,5,5,5,5,6,6,7,7,5,4,5,7,7,4,7,7,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0, ,1,2,5,3,1,1,4,3,5,2,5,4,3,2,5,5,5,3,6,5,5,5,2,2,4,5,2,2,1,1,4,4,5,3,2,1,1, ,9,3,7,7,7,7,7,7,112,72,22,0
223,0,0,0,0,0,1,2,65,5,2,3,2,4,3, , , ,7,6,7,1,7,1,7,6,1,3,7,1,2,7,1,5,1,7,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,7,7,7,7,7,7,7,1,3,2,3,3,3,3,2,3,3,1,3,3,1,1,3,1,1,3,1,1,0,0,0,0,1,0,1,4,2,5,4,5,4,3,4,5,4,3,3,6,6,2,6,3,1,4,1,4,6,5,5,1,3,2,4,3,3,2,3,5,2,2,1,2,5,43, ,7,7,7,7,7,7,113,84,44,2
227,0,0,0,0,0,1,2,69,5,2,2,1,2,2, , , ,7,4,5,1,7,4,7,5,3,6,7,1,5,6,3,7,1,6,4,4,5,5,4,4,3,4,4,3,7,7,7,7,7,6,5,5,6,7,7,5,1,2,2,2,3,2,2,2,1,2,2,2,1,1,1,2,1,1,2,1,1,1,1,1,0,1,1,2,1,6,6,5,6,3,5,4,5,1,4,5,3,5,5,6,4,3,4,4,3,5,1,1,1,6,1,4,1,2,2,5,5,1,2,1,4,4,33, ,7,4,5,7,5,7,107,76,33,6
251,1,0,0,0,0,0,1,65,5,2,4,4,4,3,1,4,2,7,6,7,1,7,1,7,7,1,6,7,1,3,7,1,7,1,6,5,5,4,4,4,4,4,4,4,4,6,7,6,4,6,6,6,6,6,7,6,6,1,2,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0, ,3,6,6,6,3,2,5,5,5,1,6,5,4,4,5,4,5,5,3,5,5,5,1,1,4,4,1,2,1,2,2,5,5,2,2,1,7, ,13,5,7,7,7,7,7,7,119,72,24,0
261,1,0,0,0,0,0,1,66,5,2,3,3,4,1,1,2,2,7,3,7,1,7,1,7,7,1,6,7,1,1,7,1,7,1,6,5,5,5,5,5,5,5,5,5,5,7,7,7,6,7,7,5,6,5,7,7,7,1,1,2,1,4,1,2,1,2,1,1,3,3,1,1,2,1,1,4,1,1,1,1,0,0,1,1,1,2,5,5,4,4,5,6,5,5,1,6,4,6,6,4,6,5,3,3,4,5,5,4,3,4,4,4,5,1,2,2,4,5,3,2,1,4, ,6,2,7,7,7,7,7,7,114,78,34,5
443,0,0,0,0,0,1,2,66,5,2,3,3,3,3, , , ,6,6,6,3,6,1,7,7,4,1,7,1,1,7,2,7,1,7,5,5,5,5,5,5,5,5,5,5,6,7,7,6,6,6,6,6,6,6,6,6,1,2,1,2,2,2,1,1,1,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,4,4,5,2,3,3,4,4,3,3,4,3,4,4,4,4,4,3,4,4,4,3,3,4,4,3,2,2,2,3,3,2,3,2,1,4,4,13, ,5,7,4,7,6,7,104,74,28,7
453,1,1,0,0,0,0,1,68,5,2,4,4,4,4,1,4,2,6,6,6,3,6,4,6,6,6,6,6,6,2,6,2,6,1,6,4,4,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,2,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,3,3,4,4,2,2,3,5,2,2,1,1, ,46,4,5,4,2,2,6,7,94,48,31,7
492,1,0,0,0,0,0,1,67,5,2,4,4,4,3,1,3,2,6,3,7,1,7,3,6,6,4,5,7,1,4,6,1,7,1,6,4,4,4,4,4,4,4,4,4,4,6,7,7,7,5,6,6,7,6,5,6,6,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,0,0,0,0,0,0,0, ,2,5,5,5,2,2,4,5,5,2,5,5,2,2,4,5,5,5,2,5,5,5,2,2,5,5,2,2,1,3,6,4,1,3,2,1,3, ,46,3,7,5,4,7,7,7,107,74,23,0
502,1,0,0,0,0,0,1,65,5,2,5,4,4,3,2,6,2,7,5,7,1,6,2,7,6,1,7,6,1,3,6,1,6,1,7,5,5,3,4,5,5,5,5,5,4,7,7,7,7,7,6,7,7,7,6,6,7,1,1,1,1,2,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,4,5,5,1,2,3,5,6,1,5,5,3,3,5,5,4,4,5,5,5,6,2,1,5,5,1,2,1,1,1,3,1,3,2,1,3, ,39,6,7,6,7,7,7,7,114,81,24,1
504,1,1,0,0,0,0,1,68,5,2,5,5,5,5,5,6,2,7,7,7,1,7,1,7,7,1,7,7,1,1,7,1,7,1,7,5,5,5,5,5,5,5,5,5,5,7,7,6,6,7,5,5,6,6,6,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0, ,1,1,6,4,1,2,2,5,6,2,5,5,4,3,6,5,4,4,1,5,5,5,2,5,4,1,5,3,6,2,2,2,5,1,2,1,3, ,33,6,7,7,7,7,7,7,120,71,20,0
506,1,0,0,0,0,0,1,65,5,2,5,5,4,3,1,5,2,7,2,7,1,7,1,6,7,1,6,6,1,3,7,1,6,1,7,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,5,5,7,5,7,7,5,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,0,0,0,0,0,0,0, ,1,5,6,6,1,2,4,5,5,1,5,5,2,3,5,5,5,5,1,6,6,5,3,1,5,4,2,2,1,2,2,2,5,3,2,1,9, ,25,5,7,7,7,7,7,7,113,76,22,0
